symbol,收盘价,涨跌幅,成交量,量比状态,RSI_14,MACD,MACD信号,MACD柱,前日MACD柱,MA5,MA20,MA50,MA200,布林上轨,布林中轨,布林下轨,ATR,PE_Ratio,资金集中价位,集中度,抄底评分,抄底依据,反弹反转信号,反弹反转置信度,反弹反转描述,Volume_PCR,OI_PCR,杠杆风险等级
688809.SS,484.58,3.54,1341042,缩量,51.47034975794945,-15.798044550221334,-23.06468860527546,7.266644055054126,5.067301086255274,456.25799560546875,452.8569961547852,511.9275897216797,0.0,537.4929598643901,452.8569961547852,368.2210324451803,45.37144416889969,,502.78,11.26,15,['恐慌盘衰竭（缩量企稳）'],反弹,中,MACD金叉 | 站上短期均线 | 缩量企稳（置信度55分）,,,高
300408.SZ,129.75,2.17,674762,持平,56.292013692326094,-1.113034889939101,-4.7653264586338535,3.6522915686947526,3.3108861761289203,123.992,111.01550000000002,130.53040000000001,0.0,131.29163718142655,111.01550000000002,90.73936281857348,12.761690678660752,86.10667,115.75,12.85,0,[],反弹,中,MACD金叉 | RSI进入强势区 | 站上短期均线（置信度55分）,,,高
300679.SZ,42.37,4.1,14245956,持平,45.315779649770114,-4.0625161996651045,-4.809244128371276,0.7467279287061714,0.430236476773727,39.99599990844727,41.900000190734865,53.13803245544434,0.0,51.28171220067349,41.900000190734865,32.51828818079624,3.9095433386119467,77.34545,59.34,15.6,0,[],无,低,MACD金叉 | 站上MA5（置信度35分）,,,高
000426.SZ,39.06,3.94,637069,缩量,63.63681217396738,0.4746512954461295,-0.6133323264335887,1.0879836218797183,0.9061541210361421,35.506,32.1015,34.9882,0.0,37.814626202001875,32.1015,26.388373797998128,2.3030892152137574,26.013334,31.64,15.55,15,['恐慌盘衰竭（缩量企稳）'],反转,高,MACD金叉 | RSI进入强势区 | 站上短期均线 | 缩量企稳（置信度65分）,,,高
002624.SZ,11.43,1.42,39208546,缩量,52.96523347611503,-0.14042492599619294,-0.36576643668897696,0.22534151069278402,0.22999978494458262,11.410000038146972,10.713000011444091,11.854207191467285,0.0,11.81327447384374,10.713000011444091,9.612725549044443,0.6017546164845721,40.785713,11.31,10.85,45,"['恐慌盘衰竭（缩量企稳）', '接近资金集中区（11.31，主力成本支撑）']",反弹,中,MACD金叉 | 站上短期均线 | 缩量企稳（置信度55分）,,,高
002258.SZ,14.05,-1.75,253686,缩量,49.613286886342756,0.33673493052632075,0.37782156780805,-0.04108663728172923,0.016573330696957544,14.472,14.108499999999998,13.6106,0.0,15.8928348900921,14.108499999999998,12.324165109907895,0.7725276355305113,25.49091,13.56,14.36,15,['恐慌盘衰竭（缩量企稳）'],无,低,暂无明确信号,,,高
601872.SS,18.05,0.95,57410714,缩量,63.37974463093548,0.4147997570897033,0.09309092459842595,0.32170883249127735,0.3170709610724681,17.578000259399413,15.953500127792358,16.265381412506102,0.0,18.41416914158022,15.953500127792358,13.492831114004495,0.9907857675884575,18.659794,16.33,11.64,15,['恐慌盘衰竭（缩量企稳）'],反转,高,MACD金叉 | RSI进入强势区 | 站上短期均线 | 缩量企稳（置信度65分）,,,高
001331.SZ,54.92,4.63,76074,缩量,57.86049157205773,-1.44061346719554,-2.9312912368626742,1.4906777696671343,1.0060116144207303,49.50600000000001,46.6865,52.50599999999999,0.0,57.55765131897269,46.6865,35.81534868102732,4.517543678038154,,49.9,9.8,15,['恐慌盘衰竭（缩量企稳）'],反转,高,MACD金叉 | RSI进入强势区 | 站上短期均线 | 缩量企稳（置信度65分）,,,高
601975.SS,3.72,-0.27,108362182,缩量,49.608495978263356,-0.04508031358336906,-0.1037652857716752,0.058684972188306136,0.06520154164293307,3.738000011444092,3.569500005245209,3.9314000034332275,0.0,3.8420783970679375,3.569500005245209,3.29692161342248,0.18460060065102546,11.967742,4.95,11.69,15,['恐慌盘衰竭（缩量企稳）'],无,低,MACD金叉（置信度25分）,,,高
600150.SS,34.73,-0.49,64019806,持平,51.02802344271174,-0.005090759758033414,-0.22282392499653314,0.21773316523849973,0.2534423900403807,34.87799987792969,33.874903774261476,34.79069576263428,0.0,35.721128317889494,33.874903774261476,32.02867923063346,1.130061811122429,21.036364,34.35,14.62,30,['接近资金集中区（34.35，主力成本支撑）'],无,低,MACD金叉（置信度25分）,,,高
0700.HK,476.8,-0.5,21801977,缩量,55.83750847745757,8.362199771674739,5.352092539011076,3.010107232663663,3.7920111705627564,484.920006,465.94000400000004,453.26000220000003,536.16300075,499.9929218473854,465.94000400000004,431.8870861526147,16.656596451628875,17.00321,331.53,11.57,15,['恐慌盘衰竭（缩量企稳）'],无,低,MACD金叉 | RSI进入强势区（置信度35分）,,,高
0883.HK,23.26,2.47,70718846,持平,44.2787747725853,0.04390892616185127,0.04337092484528665,0.000538001316564618,0.065177566180633,23.359999999999996,23.266,23.5548,23.9323,24.53647077888616,23.266,21.995529221113838,0.7087870499695372,7.7792645,9.39,14.67,0,[],反弹,低,MACD金叉 | RSI从超卖区回升（置信度45分）,,,高
3750.HK,635.0,1.11,3887480,放量,47.35270011323097,-6.096484630409577,-11.668931206206489,5.572446575796912,6.870698016829646,637.6,620.725,668.55,586.40849985,653.1987971293896,620.725,588.2512028706104,31.314290303171045,29.222275,303.59,10.54,0,[],反弹,低,MACD金叉 | 放量确认（置信度40分）,,,高
07709.HK,28.62,-9.14,239595635,持平,37.14759723817538,-17.879009629065067,-18.274495097166664,0.39548546810159735,0.24901904941996023,37.1,50.150999999999996,97.6109994,0.0,80.52171609297397,50.150999999999996,19.780283907026018,16.283019141348195,,31.57,26.47,15,['RSI偏低'],反弹,低,MACD金叉 | RSI从超卖区回升（置信度45分）,,,高
00981.HK,66.9,2.37,90801605,持平,42.19179200147868,-3.2322874057292097,-2.831849592890215,-0.4004378128389945,-0.5490080930170955,64.82000000000001,70.44250000000001,75.629,70.69175,81.10989307422278,70.44250000000001,59.77510692577723,5.394301529692686,,2.34,72.4,0,[],反弹,低,MACD绿柱收敛 | RSI从超卖区回升 | 站上MA5（置信度45分）,,,高
01879.HK,332.8,9.47,101705,缩量,45.21335443004415,-36.077329714361156,-46.80673532279269,10.729405608431534,9.006089782808658,283.520002,294.55,406.929999,0.0,351.7506795344241,294.55,237.34932046557594,37.441556531081915,,906.22,34.84,15,['恐慌盘衰竭（缩量企稳）'],反弹,低,MACD金叉 | 站上MA5 | 缩量企稳（置信度45分）,,,高
00293.HK,15.05,-0.59,24245604,放量,73.01054958673794,0.5228199370415982,0.4547771676574546,0.06804276938414366,0.05407904391355872,14.698000000000002,13.948500000000001,13.179,12.4015,15.37134609146725,13.948500000000001,12.525653908532751,0.3736362756407074,,13.86,13.44,0,[],反转,高,MACD金叉 | RSI进入强势区 | 站上短期均线 | 放量确认（置信度70分）,,,高
03690.HK,91.75,-0.49,25553923,缩量,65.52663463569608,4.1072586926628105,3.798725058017765,0.3085336346450456,0.5230584739550546,92.78,87.385,79.881,88.9525,97.30669844333273,87.385,77.46330155666728,3.718937983899444,,92.72,20.05,45,"['恐慌盘衰竭（缩量企稳）', '接近资金集中区（92.72，主力成本支撑）']",无,低,MACD金叉 | RSI进入强势区（置信度35分）,,,高
01138.HK,14.71,2.44,22281973,放量,53.16032055086416,-0.009338904785044733,-0.2986743924100137,0.28933548762496897,0.3208284309798267,14.374,13.272,14.379599999999998,14.44145,15.014809226507005,13.272,11.529190773492996,0.8490005421820201,,1.12,21.37,0,[],反弹,中,MACD金叉 | 站上短期均线 | 放量确认（置信度60分）,,,高
03968.HK,48.5,-0.82,11624469,持平,53.89611706121999,0.8436864171930551,0.8234616379698179,0.020224779223237288,0.12621232784050074,49.784,48.423,47.4324,49.041149999999995,51.847155954395205,48.423,44.9988440456048,1.0958670889280666,,16.3,21.26,0,[],无,低,MACD金叉（置信度25分）,,,高
